Problem,Package,File,Priority,Line,Description,Rule set,Rule
2,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResource.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResource.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResource.java,3,28,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResource.java,3,36,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResourceExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiFileResourceExample.java,3,525,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,37,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,47,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
6,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,54,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
7,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,58,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
8,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,63,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
9,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiReport.java,3,68,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
